journal_id;level;keyword;;;;
;1.2.1.10 ;Die Zeit zwischen den beiden Weltkriegen;;;;
;1.2.1.11 ;Weimarer Republik (1918.1933);;;;
;1.2.1.12 ;Drittes Reich (1933-1945);;;;
;1.2.1.12.1 ;Kunstpolitik des National Sozialismus;;;;
;1.2.1.13 ;Zweiter Weltkrieg (1939-1945);;;;
;1.2.1.14 ;Rückgabe nationalen Kulturguts;;;;
;1.2.1.15 ;Zerstörung während des Krieges;;;;
;1.2.2 ;Religiöse Zugehörigkeit;;;;
;1.2.2.1 ;Protestantismus;;;;
;1.2.2.2 ;Judentum;;;;
;1.2.3 ;Politisches Verhalten;;;;
;1.2.3.1 ;Furopaische Vorstellung ;;;;
;1.2.3.2 ;Pangermanismus;;;;
;1.2.3.3 ;Revanchismus;;;;
;1.2.3.4 ;Regionalismus;;;;
9773;1.3 ;Kunstgeschichte;;;;
11382;1.3.1 ;Künstlergruppen. Suomungen ;;;;
;1.3.1.1 ;Deutsche Schule allgemein;;;;
;1.3.1.2 ;Schweizer Schule allgemein;;;;
;1.3.1.3 ;Altertum;;;;
;1.3.1.4 ;Alte Kunst;;;;
;1.3.1.4.1 ;Regionale Schule;;;;
;1.3.1.4.1.1 ;Bomische Schule;;;;
;1.3.1.4.1.2 ;Schweizerische Schule;;;;
;1.3.1.4.1.3 ;Schwäbische Schule;;;;
;1.3.1.4.1.4 ;Rheinische Schule;;;;
;1.3.1.4.1.4.1 ;Kölner Schule;;;;
;1.3.1.4.1.5 ;Burgundische Schule;;;;
;1.3.1.4.1.6 ;Flamische Schule;;;;
;1.3.1.4.1.7 ;Ecole bavaroisc;;;;
;1.3.1.4.1.8 ;Ecole hanseatique;;;;
;1.3.1.4.1.9 ;Note tyrolienne;;;;
;1.3.1.4.1.10 ;Ecole franc.onienne;;;;
;1.3.1.5 ;Ecole de Fontainebleau 1;;;;
;1.3.1.6 ;Barock/Rokoko;;;;
;1.3.1.7 ;Nazarener;;;;
;1.3.1.8 ;Academisme;;;;
;1.3.1.9 ;Idealistes;;;;
;1.3.1.10 ;Preraphaelites;;;;
;1.3.1.11 ;Romantik;;;;
;1.3.1.12 ;Biedermeier;;;;
;1.3.1.13 ;Orientalismus;;;;
;1.3.1.14 ;Berliner Schule;;;;
;1.3.1.15 ;Düsseldorfer Schule;;;;
;1.3.1.16 ;Münchner Schule;;;;
;1.3.1.17 ;Karlsruher Schule;;;;
;1.3.1.18 ;Schule des T}TOIS;;;;
;1.3.1.19 ;Realismus/Naturalismus;;;;
;1.3.1.20 ;Ecole du plcin-air;;;;
;1.3.1.21 ;Ecole de Barbizon;;;;
;1.3.1.22 ;Leibl-Kreis;;;;
;1.3.1.23 ;Deutscher Künstlerbund;;;;
;1.3.1.24 ;Allgemeine deutsche Künstlervereinigung;;;;
