id,_descrpiton,_artist,_material,_dimensions,_date-artwork,year,keywords
ILLU_10962_309_0,Militia Officer,Wilhelm Trübner,oil on canvas,65.00x52.00cm,1872.0,1918,Reproduction
ILLU_10976_216_0,The Olive Trees,Vincent van Gogh,oil on canvas,72.70x91.40cm,1889.0,1929,Reproduction
ILLU_11224_163_0,The Village Girl with a Goatling,Gustave Courbet,,81.00x65.00cm,1860.0,1911,Reproduction
ILLU_11283_361_0,"Boulevard Montmartre, Spring",Camille Pissarro,oil on canvas,46.00x55.00cm,1897.0,1911,Reproduction
ILLU_11284_641_1,Le Pont Saint-Michel et le Quai des Grands Augustins,Albert Marquet,,,1912.0,1911,Reproduction
ILLU_11290_323_0,En bateau,Edouard Manet,oil on canvas,97.20x130.20cm,1874.0,1912,Reproduction
ILLU_11290_37_0,La Chanteuse de rue,Édouard Manet,oil on canvas,174.00x118.00cm,1862.0,1912,Reproduction
ILLU_11290_411_0,Le Balcon,Édouard Manet,oil on canvas,170.00x124.50cm,1868.0,1912,Reproduction
ILLU_11291_64_0,Windmill at Zaandam,Claude Monet,,,1871.0,1912,Reproduction
ILLU_11305_396_0,Ile de France Landscape,Paul Cézanne,,,1880.0,1913,Reproduction
ILLU_11305_409_0,Resting Cows,Franz Marc,,,1911.0,1913,Reproduction
ILLU_11307_542_0,Madame de Pastoret and Her Son,Jacques Louis David,oil on canvas,129.80x96.60cm,1791.0,1913,Reproduction
ILLU_11312_261_0,Bathers with a Turtle,Henri Matisse,oil on canvas,179.10x220.30cm,1908.0,1914,Reproduction
ILLU_11314_390_0,Portrait of the countess pourtales,Auguste Renoir,,,1877.0,1914,Reproduction
ILLU_11317_594_0,"Wood Gatherer, Figure Study",Vincent van Gogh,watercolor on paper,,1884.0,1914,Reproduction
ILLU_11340_630_2,Les Mangeurs de pommes de terre,Vincent van Gogh,oil on canvas,82.00x114.00cm,1885.0,1922,Reproduction
ILLU_11340_643_0,Street in Saintes-Maries,Vincent van Gogh,ink on paper,30.50x47.00cm,1888.0,1922,Reproduction
ILLU_11340_648_0,Farmhouse with Two Figures,Vincent van Gogh,oil on canvas,45.00x38.00cm,1890.0,1922,Reproduction
ILLU_11340_652_0,Still Life: Potatoes in a Yellow Dish,Vincent van Gogh,oil on canvas,39.00x47.00cm,1888.0,1922,Reproduction
ILLU_11349_230_1,Spanish Woman With Tambourine,Henri Matisse,oil on canvas,92.00x73.00cm,1909.0,1919,Reproduction
ILLU_11363_113_1,Pierrot and Harlequin,Paul Cézanne,oil on canvas,102.00x81.00cm,1888.0,1926,Reproduction
ILLU_11363_117_1,Portrait of Doctor Rey,Vincent van Gogh,oil on canvas,64.00x53.00cm,1889.0,1926,Reproduction
ILLU_11363_119_2,Painter's Family,Henri Matisse,oil on canvas,143.00x194.00cm,1911.0,1926,Reproduction
ILLU_11363_120_2,Old blind man with boy,Pablo Picasso,oil on canvas,125.00x92.00cm,1903.0,1926,Reproduction
ILLU_11379_93_0,Young Woman in Oriental Garb,Édouard Manet,oil on canvas,95.50x74.50cm,1871.0,1928,Reproduction
ILLU_11387_383_1,Seated Odalisque,Henri Matisse,,,1928.0,1928,Reproduction
ILLU_11388_397_0,Hillside in Provence,Paul Cézanne,oil on canvas,63.50x79.40cm,1890.0,1928,Reproduction
ILLU_11389_622_1,"Painting of an interior at rue Carcel (Carcel Street), Paris",Paul Gauguin,oil on canvas,130.00x162.00cm,1881.0,1928,Reproduction
ILLU_11400_638_1,Arlésiennes (Mistral),Paul Gauguin,oil on jute canvas,73.00x92.00cm,1888.0,1923,Reproduction
ILLU_11402_779_0,Odalisque with Slave,Jean-Auguste-Dominique Ingres,oil on canvas,76.00x105.00cm,1842.0,1923,Reproduction
ILLU_11402_783_0,"La baigneuse, dite Baigneuse Valpinçon",Jean-Auguste-Dominique Ingres,oil on canvas,14.60x9.70cm,1808.0,1923,Reproduction
ILLU_11412_1003_2,Still Life with Vegetables,Henri Matisse,oil on canvas,38.40x46.00cm,1905.0,1924,Reproduction
ILLU_11412_1003_3,Domino Players,Henri Matisse,,,1921.0,1924,Reproduction
ILLU_11412_1008_0,Nude,Henri Matisse,,,1920.0,1924,Reproduction
ILLU_11426_368_0,Clair de lune sur le port de Boulogne,Édouard Manet,oil on canvas,82.00x101.00cm,1869.0,1927,Reproduction
ILLU_11426_373_0,Le Défilé,Edgar Degas,mixed media canvas,46.00x61.00cm,1866.0,1927,Reproduction
ILLU_11426_374_1,"La Maison du pendu, Auvers-sur-Oise",Paul Cézanne,oil on canvas,55.50x66.30cm,1873.0,1927,Reproduction
ILLU_11432_236_1,Circus Sideshow (Parade de cirque),Georges Seurat,oil on canvas,99.70x149.90cm,1887.0,1929,Reproduction
ILLU_11457_139_0,A February Morning at Moret sur Loing,Alfred Sisley,oil on canvas,50.00x65.00cm,1881.0,1931,Reproduction
ILLU_11458_228_0,Jeunes filles au piano,Pierre-Auguste Renoir,,116.00x81.00cm,1892.0,1931,Reproduction
ILLU_11458_230_0,Portrait of Jeanne Hébuterne,Amedeo Modigliani,oil on canvas,92.30x54.50cm,1919.0,1931,Reproduction
ILLU_11463_108_0,A Centennial of Independence,Henri Rousseau,oil on canvas,111.80x158.10cm,1892.0,1927,Reproduction
ILLU_11463_113_0,The Merry Jesters,Henri Rousseau,oil on canvas,145.70x113.30cm,1906.0,1927,Reproduction
ILLU_11478_131_0,Chestnut Tree and Farm,Paul Cézanne,oil on canvas,65.50x81.30cm,1885.0,1922,Reproduction
ILLU_11480_311_0,Lise on the Bank of the Seine,Auguste Renoir,oil,184.00x115.00cm,1870.0,1922,Reproduction
ILLU_11487_73_0,Portrait Of A Girl,Albrecht Dürer,charcoal on paper,,1515.0,1932,Reproduction
ILLU_11491_211_0,A Young Girl with a Black Overall,Amedeo Modigliani,oil on canvas,92.50x60.50cm,1918.0,1932,Reproduction
ILLU_11502_292_0,Tropical Forest with Monkeys,Henri Rousseau,oil on canvas,129.50x162.50cm,1910.0,1926,Reproduction
ILLU_11507_467_0,Woman with Red Hair,Amedeo Modigliani,oil on canvas,92.10x60.70cm,1917.0,1926,Reproduction
ILLU_11518_32_0,portrait de Stéphane Mallarmé,Édouard Manet,oil on canvas,27.00x36.00cm,1876.0,1928,Reproduction
ILLU_11529_229_0,Portrait de l'artist,Paul Cézanne,oil on canvas,64.00x53.00cm,1875.0,1929,Reproduction
ILLU_11532_331_3,The Crucifixion,Carlo Crivelli,tempera on panel,75.00x55.20cm,1487.0,1929,Reproduction
ILLU_11543_181_0,Portrait de M. et Mme Auguste Manet,Édouard Manet,oil on canvas,111.50x93.00cm,1860.0,1933,Reproduction
ILLU_11543_182_0,Young Man in the Costume of a Majo,Edouard Manet,oil on canvas,188.00x124.80cm,1863.0,1933,Reproduction
ILLU_11543_184_0,The grand canal of Venice (Blue Venice),Édouard Manet,oil on canvas,54.00x65.00cm,1875.0,1933,Reproduction
ILLU_11558_101_0,La Carriole du père Junier,Henri Rousseau,,97.00x129.00cm,1908.0,1929,Reproduction
ILLU_11568_290_0,Woman in a Hat,Henri Matisse,oil on canvas,58.90x49.90cm,1920.0,1930,Reproduction
ILLU_11569_295_0,St. Magdalene in the Desert,Honoré Daumier,oil on canvas,41.00x33.00cm,1852.0,1930,Reproduction
ILLU_11746_4014_2,The Spreading Pine Tree in the Brühl Valley near Mödling,Ludwig Ferdinand Schnorr von Carolsfeld,oil on canvas,66.00x112.00cm,1838.0,1930,Reproduction
ILLU_11883_55_0,Mrs. Davies Davenport,George Romney,oil on canvas,76.50x64.00cm,1782.0,1926,Reproduction
ILLU_11896_95_0,Venus and the Lute Player,Titian and Workshop,oil on canvas,165.10x209.60cm,1565.0,1936,Reproduction
ILLU_12198_3902_0,The Bridge at Saint Cloud,Alfred Sisley,oil on canvas,,1877.0,1931,Reproduction
ILLU_12203_515209_0,The Temptation of Christ on the Mountain,Duccio,tempera on wood,43.00x46.00cm,1308.0,1931,Reproduction
ILLU_12208_3603_0,The boy with cherries,Édouard Manet,oil on canvas,,1858.0,1931,Reproduction
ILLU_12215_242503_0,Woman with a shirt sitting in a chair,Pablo Picasso,,,1913.0,1932,Reproduction
ILLU_12215_242503_2,Jeune Fille devant un miroir,Pablo Picasso,oil on canvas,162.30x130.20cm,1932.0,1932,Reproduction
ILLU_12216_242502_0,Musicians with masks,Pablo Picasso,oil on canvas,203.20x188.00cm,1921.0,1932,Reproduction
ILLU_12219_2802_0,Portrait of Hendrickje Stoffels in silk wrap,Rembrandt,oil on panel,72.50x51.50cm,1659.0,1932,Reproduction
ILLU_12226_3803_0,Armor Chamber Fantasy,Adolph Menzel,,,1866.0,1932,Reproduction
ILLU_12331_99_1,Riders on the beach,Paul Gauguin,oil on canvas,66.00x76.00cm,1902.0,1920,Reproduction
ILLU_12431_76_0,Portrait of Paulo as Pierrot,Pablo Picasso,,,1929.0,1931,Reproduction
ILLU_12431_78_0,Woman with mandolin,Pablo Picasso,oil on canvas,130.00x97.00cm,1925.0,1931,Reproduction
ILLU_12443_356_0,The Rooster,Marc Chagall,oil on canvas,81.00x65.00cm,1929.0,1931,Reproduction
ILLU_12443_359_0,Lovers under lilies,Marc Chagall,oil on canvas,101.60x76.20cm,1925.0,1931,Reproduction
ILLU_12656_467_1,The Bellelli Family,Edgar Degas,oil on canvas,200.00x250.00cm,1858.0,1928,Reproduction
ILLU_12656_467_2,L'Atelier de la rue de la Condamine,Édouard Manet,oil on canvas,98.00x128.00cm,1870.0,1928,Reproduction
ILLU_12659_48_3,"Still life with skull, candle and book",Paul Cézanne,oil on canvas,,1866.0,1927,Reproduction
