ID,Author,Category,Date,Technique,Dimensions
ILLU_14256_202_2,Alexej von Jawlensky,painting,"
1913date QS:P571,+1913-00-00T00:00:00Z/9
",oil,"
height: 68.8 cm (27 in) ; width: 49.9 cm (19.6 in) dimensions QS:P2048,+68.8U174728
dimensions QS:P2049,+49.9U174728
"
ILLU_14256_204_0,,,"
1923date QS:P571,+1923-00-00T00:00:00Z/9
",,
ILLU_14268_18_1,,painting,"
1908date QS:P571,+1908-00-00T00:00:00Z/9
",,
ILLU_14280_173_0,Hans Burgkmair the Elder,painting,"
1510date QS:P571,+1510-00-00T00:00:00Z/9
",oil,
ILLU_14292_40_0,László Moholy-Nagy,,"
1924–28","
Gelatin silver print","
8.2 x 5.4 cm (3 1/4 x 2 1/8 in.)"
ILLU_14297_333_1,Wassily Kandinsky,,"
1928",,
ILLU_14322_137_1,Hans Burgkmair the Elder,painting,"
1510date QS:P571,+1510-00-00T00:00:00Z/9
",oil,
ILLU_14353_693_2,Anselm Feuerbach,painting,"
1858 ",,"
height: 155 cm (61 in) ; width: 238 cm (93.7 in) dimensions QS:P2048,+155.00U174728
dimensions QS:P2049,+238.00U174728
"
ILLU_14353_693_3,Anselm Feuerbach,painting,"
1858 ",,"
height: 155 cm (61 in) ; width: 238 cm (93.7 in) dimensions QS:P2048,+155.00U174728
dimensions QS:P2049,+238.00U174728
"
ILLU_14374_65_6,Honoré Daumier,painting,"
1865date QS:P571,+1865-00-00T00:00:00Z/9
",,
ILLU_14952_62_2,Georges Kars,painting,"
1920date QS:P571,+1920-00-00T00:00:00Z/9
",oil on canvas,"
height: 130 cm (51.1 in) ; width: 97 cm (38.1 in) dimensions QS:P2048,+130U174728
dimensions QS:P2049,+97U174728
"
ILLU_14982_436_0,Bernardo Cavallino,painting,"
1645date QS:P571,+1645-00-00T00:00:00Z/9
",oil on canvas,
ILLU_15024_23_0,,,"
1914",,
ILLU_15024_23_0,,,"
1914",,
ILLU_15213_538_0,Max Liebermann,,"
circa 1880 date QS:P,+1880-00-00T00:00:00Z/9,P1480,Q5727902",,
ILLU_15312_21_0,Hans Holbein the Younger,painting,"
1519 ",mixed technique,"
height: 28.5 cm (11.2 in) ; width: 27.4 cm (10.7 in) dimensions QS:P2048,+28.5U174728
dimensions QS:P2049,+27.4U174728
"
ILLU_15316_482_0,,,"
0000","
Woodcut",
ILLU_15334_327_0,Hans von Marées,painting,"
from 1881 until 1883 date QS:P571,+1881-00-00T00:00:00Z/8,P580,+1881-00-00T00:00:00Z/9,P582,+1883-00-00T00:00:00Z/9",color,"
height: 189 cm (74.4 in); width: 143 cm (56.2 in)dimensions QS:P2048,189U174728
dimensions QS:P2049,143U174728"
ILLU_15639_142_0,Franz Stuck,,"
1895date QS:P571,+1895-00-00T00:00:00Z/9
",,
