id,_description,_artist,_source,_material,_dimensions,_journal-id,_date-artwork,year,keywords
ILLU_10725_396_0,The Banks of the Seine at Argenteuil,Édouard Manet,,oil on canvas,63.20x103.00cm,1438,1874.0,1910,Reproduction
ILLU_10754_263_0,At the Opera: Madame Caron in Faust,Henri de Toulouse-Lautrec,https://art.nelson-atkins.org/objects/7387/at-the-opera-madame-caron-in-faust,"lithograph, 16/100",36.20x26.40cm,1438,1894.0,1907,Reproduction
ILLU_10933_88_0,Still Life with Apples,Paul Cézanne,https://www.getty.edu/art/collection/objects/102380/paul-cezanne-still-life-with-apples-french-1893-1894/,oil on canvas,65.40x81.60cm,1368,1893.0,1912,Reproduction
ILLU_10939_99_0,Champ de blé avec cyprès,Vincent van Gogh,https://www.nationalgallery.org.uk/paintings/vincent-van-gogh-a-wheatfield-with-cypresses,oil on canvas,72.10x90.90cm,1368,1889.0,1913,Reproduction
ILLU_10945_332_0,Claude Monet painting in his studio,Édouard Manet,https://commons.wikimedia.org/wiki/File:Monet_Painting_on_His_Studio_Boat_Edouard_Manet_1874.jpg,oil on canvas,80.00x98.00cm,1368,1874.0,1914,Reproduction
ILLU_10955_69_0,Portrait&nbsp;of&nbsp;the couple&nbsp;Sisley,Auguste Renoir,,oil on canvas,75.00x105.00cm,1438,1868.0,1916,Reproduction
ILLU_10962_306_0,Esterházykeller in Vienna,Adolph of Menzel,https://sammlung.belvedere.at/objects/817/der-esterhazykeller-in-wien,oil on canvas,22.00x28.50cm,1368,1871.0,1918,Reproduction
ILLU_10962_308_0,Dancer,Josef Navrátil,https://sammlung.belvedere.at/objects/789/tanzerin,oil on wood,26.00x20.50cm,1368,,1918,Reproduction
ILLU_10962_309_0,Militia Officer,Wilhelm Trübner,https://sammlung.belvedere.at/objects/204/landwehroffizier,oil on canvas,65.00x52.00cm,1368,1872.0,1918,Reproduction
ILLU_10964_371_0,Etching,Charles Meryon,,,,1368,,1919,Reproduction
ILLU_10976_216_0,The Olive Trees,Vincent van Gogh,,oil on canvas,72.70x91.40cm,1368,1889.0,1929,Reproduction
ILLU_11224_163_0,The Village Girl with a Goatling,Gustave Courbet,,,81.00x65.00cm,1336,1860.0,1911,Reproduction
ILLU_11246_763_0,Portrait of Dr. Gachet,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Bildnis_Doktor_Gachet.jpeg,oil on canvas,67.00x56.00cm,1336,,1912,Reproduction
ILLU_11281_301_0,Field with Poppies,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Field_with_Poppies_(1889).jpg,oil on canvas,72.00x91.00cm,1438,,1911,Reproduction
ILLU_11283_361_0,"Boulevard Montmartre, Spring",Camille Pissarro,,oil on canvas,46.00x55.00cm,1438,1897.0,1911,Reproduction
ILLU_11284_641_1,Le Pont Saint-Michel et le Quai des Grands Augustins,Albert Marquet,https://commons.wikimedia.org/wiki/File:The_Pont_Saint-Michel_and_the_Quai_des_Grands_Augustins_Albert_Marquet_%281912%29.jpg?uselang=fr,,,1438,1912.0,1911,Reproduction
ILLU_11290_323_0,En bateau,Edouard Manet,https://www.metmuseum.org/art/collection/search/436947,oil on canvas,97.20x130.20cm,1438,1874.0,1912,Reproduction
ILLU_11290_37_0,La Chanteuse de rue,Édouard Manet,https://fr.wikipedia.org/wiki/La_Chanteuse_de_rue,oil on canvas,174.00x118.00cm,1438,1862.0,1912,Reproduction
ILLU_11290_411_0,Le Balcon,Édouard Manet,https://en.wikipedia.org/wiki/The_Balcony_(painting),oil on canvas,170.00x124.50cm,1438,1868.0,1912,Reproduction
ILLU_11291_64_0,Windmill at Zaandam,Claude Monet,,,,1438,1871.0,1912,Reproduction
ILLU_11305_396_0,Ile de France Landscape,Paul Cézanne,,,,1438,1880.0,1913,Reproduction
ILLU_11305_409_0,Resting Cows,Franz Marc,,,,1438,1911.0,1913,Reproduction
ILLU_11307_542_0,Madame de Pastoret and Her Son,Jacques Louis David,,oil on canvas,129.80x96.60cm,1438,1791.0,1913,Reproduction
ILLU_11312_261_0,Bathers with a Turtle,Henri Matisse,,oil on canvas,179.10x220.30cm,1438,1908.0,1914,Reproduction
ILLU_11314_390_0,Portrait of the countess pourtales,Auguste Renoir,,,,1438,1877.0,1914,Reproduction
ILLU_11317_594_0,"Wood Gatherer, Figure Study",Vincent van Gogh,,watercolor on paper,,1438,1884.0,1914,Reproduction
ILLU_11340_630_2,Les Mangeurs de pommes de terre,Vincent van Gogh,https://en.wikipedia.org/wiki/The_Potato_Eaters,oil on canvas,82.00x114.00cm,1336,1885.0,1922,Reproduction
ILLU_11340_643_0,Street in Saintes-Maries,Vincent van Gogh,,ink on paper,30.50x47.00cm,1336,1888.0,1922,Reproduction
ILLU_11340_648_0,Farmhouse with Two Figures,Vincent van Gogh,,oil on canvas,45.00x38.00cm,1336,1890.0,1922,Reproduction
ILLU_11340_652_0,Still Life: Potatoes in a Yellow Dish,Vincent van Gogh,https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Stillleben_mit_Kartoffeln_in_gelber_Sch%C3%BCssel.jpeg,oil on canvas,39.00x47.00cm,1336,1888.0,1922,Reproduction
ILLU_11349_230_1,Spanish Woman With Tambourine,Henri Matisse,https://pushkinmuseum.art/?lang=en,oil on canvas,92.00x73.00cm,1438,1909.0,1919,Reproduction
ILLU_11363_113_1,Pierrot and Harlequin,Paul Cézanne,,oil on canvas,102.00x81.00cm,1336,1888.0,1926,Reproduction
ILLU_11363_117_1,Portrait of Doctor Rey,Vincent van Gogh,http://www.arts-museum.ru/,oil on canvas,64.00x53.00cm,1336,1889.0,1926,Reproduction
ILLU_11363_119_2,Painter's Family,Henri Matisse,https://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/01.+paintings/28469,oil on canvas,143.00x194.00cm,1336,1911.0,1926,Reproduction
ILLU_11363_120_2,Old blind man with boy,Pablo Picasso,,oil on canvas,125.00x92.00cm,1336,1903.0,1926,Reproduction
ILLU_11363_25_1,Portrait of a Woman,Auguste Renoir,,,,1336,,1926,Reproduction
ILLU_11379_93_0,Young Woman in Oriental Garb,Édouard Manet,,oil on canvas,95.50x74.50cm,1336,1871.0,1928,Reproduction
ILLU_11387_383_1,Seated Odalisque,Henri Matisse,,,,1336,1928.0,1928,Reproduction
ILLU_11388_397_0,Hillside in Provence,Paul Cézanne,https://www.nationalgallery.org.uk/paintings/paul-cezanne-hillside-in-provence,oil on canvas,63.50x79.40cm,1336,1890.0,1928,Reproduction
ILLU_11389_622_1,"Painting of an interior at rue Carcel (Carcel Street), Paris",Paul Gauguin,"https://commons.wikimedia.org/wiki/File:Paul_Gauguin,_Interieur_du_peintre_Paris,_rue_Carcel_(1881)_-_01.jpg",oil on canvas,130.00x162.00cm,1336,1881.0,1928,Reproduction
ILLU_11400_638_1,Arlésiennes (Mistral),Paul Gauguin,,oil on jute canvas,73.00x92.00cm,1336,1888.0,1923,Reproduction
ILLU_11402_779_0,Odalisque with Slave,Jean-Auguste-Dominique Ingres,https://commons.wikimedia.org/wiki/File:Jean-Paul_Flandrin_-_Odalisque_with_Slave_-_Walters_37887.jpg,oil on canvas,76.00x105.00cm,1336,1842.0,1923,Reproduction
ILLU_11402_783_0,"La baigneuse, dite Baigneuse Valpinçon",Jean-Auguste-Dominique Ingres,https://donate.louvre.fr/particuliers/~mon-don,oil on canvas,14.60x9.70cm,1336,1808.0,1923,Reproduction
ILLU_11412_1003_2,Still Life with Vegetables,Henri Matisse,https://www.metmuseum.org/art/collection/search/489991,oil on canvas,38.40x46.00cm,1336,1905.0,1924,Reproduction
ILLU_11412_1003_3,Domino Players,Henri Matisse,,,,1336,1921.0,1924,Reproduction
ILLU_11412_1008_0,Nude,Henri Matisse,,,,1336,1920.0,1924,Reproduction
ILLU_11426_368_0,Clair de lune sur le port de Boulogne,Édouard Manet,https://fr.wikipedia.org/wiki/Clair_de_lune_sur_le_port_de_Boulogne,oil on canvas,82.00x101.00cm,1336,1869.0,1927,Reproduction
ILLU_11426_373_0,Le Défilé,Edgar Degas,https://commons.wikimedia.org/wiki/File:Edgar_Germain_Hilaire_Degas_040.jpg?uselang=fr,mixed media canvas,46.00x61.00cm,1336,1866.0,1927,Reproduction
ILLU_11426_374_1,"La Maison du pendu, Auvers-sur-Oise",Paul Cézanne,https://commons.wikimedia.org/wiki/File:La_Maison_du_pendu_Auvers-sur-Oise_-_Paul_C%C3%A9zanne.jpg,oil on canvas,55.50x66.30cm,1336,1873.0,1927,Reproduction
ILLU_11432_236_1,Circus Sideshow (Parade de cirque),Georges Seurat,https://www.metmuseum.org/art/collection/search/437654,oil on canvas,99.70x149.90cm,1336,1887.0,1929,Reproduction
ILLU_11457_139_0,A February Morning at Moret sur Loing,Alfred Sisley,,oil on canvas,50.00x65.00cm,1368,1881.0,1931,Reproduction
ILLU_11458_228_0,Jeunes filles au piano,Pierre-Auguste Renoir,https://commons.wikimedia.org/wiki/File:Renoir_jeunes_filles_au_piano_vers_1892.jpg?uselang=fr,,116.00x81.00cm,1368,1892.0,1931,Reproduction
ILLU_11458_230_0,Portrait of Jeanne Hébuterne,Amedeo Modigliani,https://commons.wikimedia.org/wiki/File:Amedeo_Modigliani_-_Portrait_of_Jeanne_H%C3%A9buterne_-_Google_Art_Project.jpg,oil on canvas,92.30x54.50cm,1368,1919.0,1931,Reproduction
ILLU_11463_108_0,A Centennial of Independence,Henri Rousseau,https://www.getty.edu/art/collection/objects/816/henri-rousseau-a-centennial-of-independence-french-1892/,oil on canvas,111.80x158.10cm,1368,1892.0,1927,Reproduction
ILLU_11463_113_0,The Merry Jesters,Henri Rousseau,https://commons.wikimedia.org/wiki/File:Henri_Rousseau_-_The_Merry_Jesters.jpg,oil on canvas,145.70x113.30cm,1368,1906.0,1927,Reproduction
ILLU_11478_131_0,Chestnut Tree and Farm,Paul Cézanne,,oil on canvas,65.50x81.30cm,1438,1885.0,1922,Reproduction
ILLU_11480_311_0,Lise on the Bank of the Seine,Auguste Renoir,,oil,184.00x115.00cm,1438,1870.0,1922,Reproduction
ILLU_11487_73_0,Portrait Of A Girl,Albrecht Dürer,,charcoal on paper,,1438,1515.0,1932,Reproduction
ILLU_11491_211_0,A Young Girl with a Black Overall,Amedeo Modigliani,,oil on canvas,92.50x60.50cm,1438,1918.0,1932,Reproduction
ILLU_11502_292_0,Tropical Forest with Monkeys,Henri Rousseau,https://www.nga.gov/collection/art-object-page.61253.html,oil on canvas,129.50x162.50cm,1438,1910.0,1926,Reproduction
ILLU_11507_467_0,Woman with Red Hair,Amedeo Modigliani,https://www.nga.gov/collection/art-object-page.46651.html,oil on canvas,92.10x60.70cm,1438,1917.0,1926,Reproduction
ILLU_11518_32_0,portrait de Stéphane Mallarmé,Édouard Manet,https://fr.wikipedia.org/wiki/Portrait_de_St%C3%A9phane_Mallarm%C3%A9_(Manet),oil on canvas,27.00x36.00cm,1438,1876.0,1928,Reproduction
ILLU_11529_229_0,Portrait de l'artist,Paul Cézanne,https://commons.wikimedia.org/wiki/File:Portrait_de_l%27artiste%2C_par_Paul_C%C3%A9zanne%2C_FWN_434.jpg?uselang=fr,oil on canvas,64.00x53.00cm,1438,1875.0,1929,Reproduction
ILLU_11532_331_3,The Crucifixion,Carlo Crivelli,,tempera on panel,75.00x55.20cm,1438,1487.0,1929,Reproduction
ILLU_11543_181_0,Portrait de M. et Mme Auguste Manet,Édouard Manet,https://fr.wikipedia.org/wiki/Portrait_de_M._et_Mme_Auguste_Manet,oil on canvas,111.50x93.00cm,1368,1860.0,1933,Reproduction
ILLU_11543_182_0,Young Man in the Costume of a Majo,Edouard Manet,https://www.metmuseum.org/art/collection/search/438819,oil on canvas,188.00x124.80cm,1368,1863.0,1933,Reproduction
ILLU_11543_184_0,The grand canal of Venice (Blue Venice),Édouard Manet,,oil on canvas,54.00x65.00cm,1368,1875.0,1933,Reproduction
