ID,liens iiif,pages_to_extract
11610,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0638.json,1
11611,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0703.json,2
11600,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0120.json,1
12669,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0113.json,1
12670,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0161.json,1
12671,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0218.json,1
11601,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0247.json,2
11602,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0249.json,2
12672,https://digi.ub.uni-heidelberg.de/diglit/iiif/cicerone1909/canvas/0319.json,1
10800,https://digi.ub.uni-heidelberg.de/diglit/iiif/sturm1910_1911/canvas/0378.json,1
10799,https://digi.ub.uni-heidelberg.de/diglit/iiif/sturm1910_1911/canvas/0402.json,2
12408,https://digi.ub.uni-heidelberg.de/diglit/iiif/feuer1919_1920/canvas/0191.json,12
12409,https://digi.ub.uni-heidelberg.de/diglit/iiif/feuer1919_1920/canvas/0371.json,6
12410,https://digi.ub.uni-heidelberg.de/diglit/iiif/feuer1919_1920/canvas/0377.json,9
12411,https://digi.ub.uni-heidelberg.de/diglit/iiif/feuer1919_1920/canvas/0386.json,10
10810,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1875/canvas/0182.json,4
10809,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1875/canvas/0185.json,1
10545,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1894_1895/canvas/0018.json,4
10392,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1894_1895/canvas/0234.json,3
10736,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1894_1895/canvas/0371.json,3
10740,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1894_1895/canvas/0388.json,4
10147,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0090.json,2
10159,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0093.json,1
10163,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0093.json,1
10164,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0109.json,1
10165,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0117.json,1
10825,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0117.json,1
10166,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0119.json,1
10156,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0123.json,2
10167,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0125.json,2
10148,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0129.json,4
10149,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0130.json,3
10826,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1899/canvas/0133.json,1
