ID,Volume_ID,_journal-id,liens iiif,liens de citation (page),liens de citation (volume),bibliographie
11994,2447,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1938/canvas/0050.json,https://digi.ub.uni-heidelberg.de/diglit/wk1938/0050,,"12.1938.10, S. 2"
11995,2448,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1938/canvas/0086.json,https://digi.ub.uni-heidelberg.de/diglit/wk1938/0086,,"12.1938.16, S. 12"
11996,2448,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1938/canvas/0086.json,https://digi.ub.uni-heidelberg.de/diglit/wk1938/0086,,"12.1938.16, S. 12"
11890,2449,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1938/canvas/0018.json,https://digi.ub.uni-heidelberg.de/diglit/wk1938/0018,,"12.1938.2, S. 4"
11992,2450,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1938/canvas/0044.json,https://digi.ub.uni-heidelberg.de/diglit/wk1938/0044,,"12.1938.8, S. 6"
11993,2450,1384.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/wk1938/canvas/0044.json,https://digi.ub.uni-heidelberg.de/diglit/wk1938/0044,,"12.1938.8, S. 6"
16360,2451,1285.0,,,,"12.1948.192, p. 1"
16361,2452,1285.0,,,,"12.1948.195, p. 4"
16130,2453,1285.0,,,,"12.1949.240, p. 4"
16444,2454,1285.0,,,,12.1949.243
16532,2455,1285.0,,,,"12.1950.290, p. 8"
16556,2456,1285.0,,,,"12.1951.336, p. 4"
16557,2457,1285.0,,,,"12.1951.336, p. 5"
16559,2458,1285.0,,,,"12.1951.339, p. 2"
15163,2459,1477.0,,x,,"12.Jg., Bd.23, S.41-55"
15164,2460,1477.0,,x,,"12.Jg., Bd.24, S.113-177"
15317,2461,1476.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1055832t/canvas/f202,https://gallica.bnf.fr/ark:/12148/bpt6k1055832t/canvas/f202,,"12.Jg., Bd.41, S.160"
14339,2463,1552.0,,,,"12/13, p. 25-28"
14911,2465,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201797k/canvas/f153,https://gallica.bnf.fr/ark:/12148/bpt6k201797k/f153.item,,"122.1917.457, S. 145-148"
14912,2466,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2018004/canvas/f133,https://gallica.bnf.fr/ark:/12148/bpt6k2018004/f133.item,,"122.1917.460, S. 703-705"
14700,2467,1602.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k87170r?rk=107296;4,123.1894
14701,2468,1602.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k870903?rk=64378;0,124.1894
14587,2469,1602.0,,,https://gallica.bnf.fr/ark:/12148/bpt6k871713?rk=85837;2,125.1894
14913,2470,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2018140/canvas/f142,https://gallica.bnf.fr/ark:/12148/bpt6k2018140/f142.item,,"126.1919.474, S. 328-329"
14914,2471,1550.0,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k201819w/canvas/f121,https://gallica.bnf.fr/ark:/12148/bpt6k201819w/f121.item,,"127.1918.479, S. 499-505"
10636,2474,1630.0,,,,"13.1878.24, Sp. 377-380"
10637,2475,1630.0,,,,"13.1878.25, Sp. 393-396"
14794,2476,1550.0,,x,,"13.1895.62, S. 245"
14795,2477,1550.0,,https://www.retronews.fr/journal/mercure-de-france-1890-1965/1-mars-1895/118/2740173/66,,"13.1895.63, S. 324-335"
14796,2478,1550.0,,https://www.retronews.fr/journal/mercure-de-france-1890-1965/1-mars-1895/118/2740173/115,,"13.1895.63, S. 373-374; 14.1895.64, S. 3-65"
10547,2479,1368.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1897_1898/canvas/0130.json,https://digi.ub.uni-heidelberg.de/diglit/kfa1897_1898/0130,,"13.1897/98.7, S. 97-103 / I. Teil"
10719,2480,1368.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kfa1897_1898/canvas/0170.json,https://digi.ub.uni-heidelberg.de/diglit/kfa1897_1898/0170,,"13.1897/98.9, S. 129-136"
10293,2481,1338.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart13_1/canvas/0053.json,https://digi.ub.uni-heidelberg.de/diglit/kunstwart13_1/0053,,"13.1899/1900.2, S. 41-46"
10294,2482,1338.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart13_1/canvas/0066.json,https://digi.ub.uni-heidelberg.de/diglit/kunstwart13_1/0066,,"13.1899/1900.2, S. 54-58"
10657,2483,1338.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart13_2/canvas/0206.json,https://digi.ub.uni-heidelberg.de/diglit/kunstwart13_2/0206,,"13.1900.17, S. 194-197/13.1900.24, S. 468-470 / (insgesamt sind es 5 Teile)"
10633,2484,1338.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstwart13_2/canvas/0286.json,https://digi.ub.uni-heidelberg.de/diglit/kunstwart13_2/0286,,"13.1900.19, S. 272-274; 13.1900.20, S. 308-310"
10238,2485,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0013.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0013,,"13.1902.1, Sp. 9-11"
10243,2486,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0082.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0082,,"13.1902.10, Sp. 148-150"
10244,2487,1439.0,https://digi.ub.uni-heidelberg.de/diglit/iiif/kunstchronik1902/canvas/0087.json,https://digi.ub.uni-heidelberg.de/diglit/kunstchronik1902/0087,,"13.1902.10, Sp. 157"
