ID,PW_bemerkung_extern,bibliographie,link_image,link_manifest,length
15432,,"n° 4, p. 159-160",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/f171/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k9795472d/manifest.json,650
15501,,p. 259-268,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6224452k/f3/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6224452k/manifest.json,20
15503,,p. 147,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6224445f/f3/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6224445f/manifest.json,16
15504,,"Tome LXX, 1er semestre 1892, p.102",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62231594/f6/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62231594/manifest.json,16
15505,,"Tome LXX, 1er semestre 1892, p. 38",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6223155g/f6/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6223155g/manifest.json,16
15550,,"Tome V, n° 106, p. 165-170",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k37630v/f168/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k37630v/manifest.json,1072
15563,,"p.321-324,",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2031554/f369/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k2031554/manifest.json,627
15630,Cf. copie au Centre,"Tome XXI, 1er semestre 1900, p. 161-169",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k15542p/f162/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k15542p/manifest.json,643
15639,,"XV, avril-septembre 1912, p.113-128",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100847m/f128/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100847m/manifest.json,324
15650,,p. 157-158,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203174f/f158/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k203174f/manifest.json,657
15678,,"XV, avril-sept. 1912, p. 17-32",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100847m/f26/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100847m/manifest.json,324
15680,,"XV, avril-sept. 1912, p. 49-64",https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100847m/f58/full/full/0/native.jpg,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6100847m/manifest.json,324
